ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus
ASV_17242,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
ASV_17244,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV_17245,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_17248,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_1725,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV_17252,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
ASV_17254,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Hathewaya
ASV_17260,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,NA
ASV_17267,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rugamonas
ASV_1727,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella
ASV_17273,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Sinibacillus
ASV_17276,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA
ASV_17282,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_1729,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_17296,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NA,NA
ASV_173,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_1730,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ASV_17302,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
ASV_17307,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,NA,NA
ASV_17310,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV_17316,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_17321,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
ASV_17327,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,NA
ASV_17329,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
ASV_1733,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17333,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_17336,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA
ASV_17337,Eukaryota,NA,NA,NA,NA,NA
ASV_17339,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rugamonas
ASV_17342,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA
ASV_17351,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus_Saccharimonas
ASV_17352,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Savagea
ASV_17354,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
ASV_1736,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage
ASV_17364,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
ASV_1737,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17373,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Kinneretia
ASV_17376,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
ASV_17378,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
ASV_17380,Eukaryota,NA,NA,NA,NA,NA
ASV_17382,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
ASV_17383,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_17385,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_17387,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17388,Bacteria,NA,NA,NA,NA,NA
ASV_174,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia
ASV_17400,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA
ASV_17401,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_17402,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA
ASV_17423,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_17424,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_1743,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_17435,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_17438,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_17448,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV_17450,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
ASV_17453,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17458,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA
ASV_17460,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinimicrobium
ASV_17461,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_17465,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_17476,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA
ASV_17480,Bacteria,Tenericutes,Mollicutes,NA,NA,NA
ASV_17490,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17491,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_17494,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
ASV_17496,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_17497,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_17500,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17501,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_17502,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Parasediminibacterium
ASV_17506,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
ASV_17507,Eukaryota,NA,NA,NA,NA,NA
ASV_17509,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium
ASV_17514,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17515,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_17518,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,NA
ASV_1752,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_17520,Eukaryota,NA,NA,NA,NA,NA
ASV_17523,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,NA
ASV_17527,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
ASV_17529,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV_1753,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
ASV_17531,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_17534,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17535,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17539,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Sarcina
ASV_17540,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
ASV_17541,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV_17542,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA
ASV_17543,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_17546,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,NA
ASV_17547,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_17555,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,NA
ASV_17568,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
ASV_17576,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
